"Theta [deg]","dB(RealizedGainTotal) [] - Freq='3.2GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal)_1 [] - Freq='3.2GHz' Theta='90deg'"
-180,-29.3556293633455,
-179,-27.6436865757838,
-178,-25.4595025593361,
-177,-23.4365050747258,
-176,-21.6850138471842,
-175,-20.1769324722298,
-174,-18.8656368946366,
-173,-17.7108259289318,
-172,-16.6812580137977,
-171,-15.7532179208487,
-170,-14.9086316098713,
-169,-14.1335601496835,
-168,-13.4171038670512,
-167,-12.7506228882517,
-166,-12.1271822631056,
-165,-11.5411530350502,
-164,-10.9879215610967,
-163,-10.4636746179555,
-162,-9.96523822256436,
-161,-9.48995504889682,
-160,-9.03558996728992,
-159,-8.60025635257614,
-158,-8.18235792282199,
-157,-7.78054232046424,
-156,-7.39366365311834,
-155,-7.02075191732574,
-154,-6.66098773107267,
-153,-6.31368116434077,
-152,-5.97825372467769,
-151,-5.65422275636212,
-150,-5.34118766738364,
-149,-5.03881752197051,
-148,-4.74683963718379,
-147,-4.46502890652268,
-146,-4.19319764583165,
-145,-3.93118581993313,
-144,-3.67885156425857,
-143,-3.4360619656362,
-142,-3.20268411124294,
-141,-2.97857645519573,
-140,-2.76358058878167,
-139,-2.55751353311916,
-138,-2.3601607020517,
-137,-2.17126970791828,
-136,-1.99054520273541,
-135,-1.81764496102988,
-134,-1.65217741637006,
-133,-1.49370085942209,
-132,-1.34172448867497,
-131,-1.19571147333903,
-130,-1.05508413912924,
-129,-0.919231320270423,
-128,-0.787517835013065,
-127,-0.659295939048859,
-126,-0.533918495701026,
-125,-0.410753480558881,
-124,-0.289199320833662,
-123,-0.168700467628817,
-122,-0.0487625248712826,
-121,0.0710337766040244,
-120,0.1910204585072,
-119,0.311432661478263,
-118,0.432402015426054,
-117,0.553953371067585,
-116,0.676005060086483,
-115,0.798372648808348,
-114,0.92077595401934,
-113,1.04284891732265,
-112,1.16415180040769,
-111,1.28418507663692,
-110,1.40240435722735,
-109,1.51823570012922,
-108,1.63109069909448,
-107,1.74038082918448,
-106,1.84553062186715,
-105,1.94598934721552,
-104,2.04124098353826,
-103,2.13081234936505,
-102,2.21427935488408,
-101,2.29127139781447,
-100,2.36147398232033,
-99,2.42462968034923,
-98,2.48053758496253,
-97,2.52905142742111,
-96,2.57007654652995,
-95,2.60356591214832,
-94,2.62951541630859,
-93,2.64795865571393,
-92,2.65896143828835,
-91,2.66261625287521,
-90,2.65903694335253,
-89,2.64835382410127,
-88,2.63070946049987,
-87,2.60625531369897,
-86,2.57514941171982,
-85,2.53755515824102,
-84,2.49364132684711,
-83,2.44358321395988,
-82,2.38756484150867,
-81,2.32578201523069,
-80,2.25844596193851,
-79,2.18578719541758,
-78,2.10805920237608,
-77,2.02554150350722,
-76,1.93854163619208,
-75,1.84739562968491,
-74,1.75246660434902,
-73,1.65414122510635,
-72,1.55282387429184,
-71,1.44892857540012,
-70,1.34286888718243,
-69,1.23504618289474,
-68,1.12583691366854,
-67,1.01557960666091,
-66,0.904562446324001,
-65,0.793012312527592,
-64,0.681086091011747,
-63,0.568864928466252,
-62,0.456351886888605,
-61,0.343473181463396,
-60,0.230082893126542,
-59,0.115970765009911,
-58,0.00087245302331725,
-57,-0.11551857012486,
-56,-0.233538346662135,
-55,-0.353539893726518,
-54,-0.475881610121115,
-53,-0.600917313154137,
-52,-0.728988412685663,
-51,-0.860418533577638,
-50,-0.995510701361418,
-49,-1.13454702471861,
-48,-1.27779065358439,
-47,-1.42548967037358,
-46,-1.5778824874178,
-45,-1.73520427673686,
-44,-1.89769394712833,
-43,-2.06560120497616,
-42,-2.2391932845997,
