"Theta [deg]","dB(GainTotal) [] - Freq='2.9GHz' Phi='0deg'","dB(GainTotal) [] - Freq='2.9GHz' Phi='90.0000000000002deg'"
-180,-2.09397883183325,-2.09397883183324
-179,-2.11502765638628,-2.15522038096366
-178,-2.17104587016382,-2.2711800254763
-177,-2.26043298460561,-2.44306677675681
-176,-2.38167251943112,-2.6727199773687
-175,-2.53341685489683,-2.96269160850995
-174,-2.71457842374215,-3.31636635785332
-173,-2.92442238293503,-3.73813027055752
-172,-3.16265456629839,-4.23360372843264
-171,-3.42949796140769,-4.80996093772611
-170,-3.72575139907391,-5.4763657259268
-169,-4.05282556241195,-6.24455952431718
-168,-4.41275345806469,-7.1296309248543
-167,-4.80817446000358,-8.15093821387919
-166,-5.24229198746753,-9.33291266049616
-165,-5.71880365434301,-10.7045725109945
-164,-6.24179789090178,-12.2933594431931
-163,-6.81560055380526,-14.0976686012342
-162,-7.4445355725558,-15.9894531153273
-161,-8.13252945530997,-17.4786199796323
-160,-8.88243090995312,-17.7049423336973
-159,-9.694820455778,-16.5236748880413
-158,-10.5659408637952,-14.7572934684655
-157,-11.4842174815202,-13.0084438419845
-156,-12.4248471627096,-11.4610365725058
-155,-13.3427445520978,-10.1318691874926
-154,-14.1670577466367,-8.99559945253819
-153,-14.8060911932976,-8.02194791038705
-152,-15.1736277010318,-7.18459191105412
-151,-15.2311326560631,-6.4623383630216
-150,-15.0115248779914,-5.83844651573682
-149,-14.598848024281,-5.29968710908535
-148,-14.0860335944087,-4.83552536487847
-147,-13.5465622747168,-4.4374864345311
-146,-13.0280610772507,-4.09867975235207
-145,-12.5573287950998,-3.81344571971557
-144,-12.1474434233042,-3.57709277547038
-143,-11.80333668571,-3.38570044551823
-142,-11.5253959370775,-3.23597056947419
-141,-11.3115870226022,-3.12511392194982
-140,-11.1586369964931,-3.05076307214516
-139,-11.0626578613811,-3.01090489756594
-138,-11.019445526318,-3.00382798525874
-137,-11.024589253255,-3.02808144288033
-136,-11.0734674758082,-3.08244256298563
-135,-11.1611724004137,-3.16589144897542
-134,-11.2823884061013,-3.2775911974146
-133,-11.4312422426266,-3.4168725922978
-132,-11.601143523074,-3.58322253943487
-131,-11.7846406420581,-3.77627567955923
-130,-11.9733287796362,-3.99580878565726
-129,-12.1578603531424,-4.24173768696374
-128,-12.3281181856573,-4.51411657928737
-127,-12.4736075804545,-4.81313968685701
-126,-12.5840930458651,-5.13914534142691
-125,-12.6504415169097,-5.49262264597403
-124,-12.6655467238922,-5.87422099882026
-123,-12.6251337935053,-6.28476287548096
-122,-12.5282278528728,-6.72526040654488
-121,-12.3771445922278,-7.19693645755178
-120,-12.1770026788194,-7.70125111850176
-119,-11.9348999039634,-8.23993475261867
-118,-11.6589692473917,-8.81502903835298
-117,-11.3575158280044,-9.42893775560588
-116,-11.0383601794918,-10.0844893784457
-115,-10.7084260772327,-10.7850137381023
-114,-10.373547241014,-11.5344348602528
-113,-10.0384368792169,-12.3373809788909
-112,-9.70676022388541,-13.1993093663792
-111,-9.38126067377915,-14.126635000627
-110,-9.06390492650133,-15.1268313574116
-109,-8.75602593382785,-16.2084228664162
-108,-8.45845258620821,-17.3806745217427
-107,-8.17162164819302,-18.6525173784762
-106,-7.89567134870412,-20.0296307972881
-105,-7.63051803284666,-21.5072382904186
-104,-7.37591811698397,-23.0536391513154
-103,-7.13151776216831,-24.5775590858027
-102,-6.89689251856538,-25.8850602876997
-101,-6.67157888924347,-26.6927788613456
-100,-6.45509942274531,-26.8078476630019
-99,-6.24698262405077,-26.326958549489
-98,-6.04677869595425,-25.5306757449661
-97,-5.85407189392941,-24.6557387510416
-96,-5.66849009528911,-23.8278910691469
-95,-5.48971204225401,-23.0968676664975
-94,-5.31747261161893,-22.4754323370162
-93,-5.15156638431444,-21.9611022273266
-92,-4.99184973018166,-21.5460048752205
